,0,1,2,3,4,5,6,7
0,#,Potret,Potret,Wali Kota,Mulai jabatan,Akhir jabatan,Ket.,Wakil Wali Kota
1,Burgemeester Batavia,Burgemeester Batavia,Burgemeester Batavia,Burgemeester Batavia,Burgemeester Batavia,Burgemeester Batavia,Burgemeester Batavia,Burgemeester Batavia
2,1,,,Mr.G.J. Bisschop,Agustus 1916,Juni 1920,[ket. 1],
3,—,,,Prof. Ir.Hendrik van Breen,Juni 1920,7 Agustus 1920,[ket. 2],
4,2,,,Mr.A. Meijroos,7 Agustus 1920,20 April 1933,[3],
5,3,,,Ir. E. A. Voorneman,20 April 1933,1941,[4],
6,—,,,Drs.Archibald Theodoor Bogaardt,1941,1941,[ket. 2],
7,(3),,,Ir.E. A. Voorneman,1941,1942,,
8,ジャカルタ特別市長,ジャカルタ特別市長,ジャカルタ特別市長,ジャカルタ特別市長,ジャカルタ特別市長,ジャカルタ特別市長,ジャカルタ特別市長,ジャカルタ特別市長
9,—,,,Bagindo Dahlan Abdullah,Maret 1942,8 Agustus 1942,[ket. 3],
10,1,,,Sakae Tsukamoto(塚本栄),8 Augustus 1942,14 Juni 1943,[ket. 4],
11,2,,,Katsuyasu Yoshie(吉江勝保),14 Juni 1943,17 Juli 1944,[ket. 4],
12,3,,,Shigeo Hasegawa(長谷川茂雄),17 Juli 1944,23 September 1945,[ket. 4],SuwiryoBagindo Dahlan Abdullah
13,Burgemeester Batavia,Burgemeester Batavia,Burgemeester Batavia,Burgemeester Batavia,Burgemeester Batavia,Burgemeester Batavia,Burgemeester Batavia,Burgemeester Batavia
14,4,,,Drs. Archibald Theodoor Bogaardt,1 November 1946,28 Juni 1947,[6],
15,5,,,Elbert Marinus Stok,28 Juni 1947,26 Agustus 1948,[7],
16,6,,,Robert Thomas Praaning,26 Agustus 1948,20 April 1949,[8],
17,7,,,Sastromoeljono,20 April 1949,30 Maret 1950,[8],
