,F i r a u n,N a m a   H o r u s,T a h u n   b e r k u a s a ( K r o n o l o g i   k o n v e n s i o n a l ),T a h u n   b e r k u a s a ( K r o n o l o g i   b a r u ),T e m p a t   p e m a k a m a n,P a s a n g a n   h i d u p
0,Ahmose I,Nebpehtire,1549-1524 SM,1194-1170 SM,,Ahmose-Nefertari Ahmose-Henuttamehu Ahmose-Sitkamose
1,Amenhotep I,Djeserkare,1524-1503 SM,1170-1150 SM,KV39?,Ahmose-Meritamon
2,Thutmosis I,Akheperkare,1503-1491 SM,1150-1139 SM,"KV20, KV38",Ahmose Mutnofret
3,Thutmosis II,Akheperenre,1503-1491 SM,1139-1138 SM,KV42?,Hatshepsut Isis
4,Hatshepsut,Maatkare,1491-1479 SM,1131-1116 SM,KV20,
5,Thutmosis III,Menkheper(en)re,1479-1424 SM,1138-1085 SM,KV34,"Satiah Merytre-Hatshepsut Nebtu Menhet, Menwi and Merti"
6,Amenhotep II,Akheperure,1424-1398 SM,1085-1059 SM,KV35,Tiaa
7,Thutmosis IV,Menkheperure,1398-1388 SM,1059-1050 SM,KV43,Nefertari Iaret Mutemwiya
8,Amenhotep III,Nebmaatre,1388 - 1348 SM,1050-1012 SM,KV22,Tiye Gilukhipa Tadukhipa Sitamun Iset
9,Akhenaten,Neferkepherure-Waenre,1360 - 1343 SM,1022 - 1006,Makam Kerajaan Akhenaten,Nefertiti Kiya
10,Smenkhare,Ankhkheperure,1346 SM,1006-1003 SM,,Meritaten
11,Neferneferuaten,Ankhkheperure-Merwaenre,1346-1343 SM,1011-1007 SM,,
12,Tutankhamun,Nebkheperre,1343-1333 SM,1003-995 SM,KV62,Ankhesenamun
13,Ay,Kheperkheperure,1333-1328 SM,995-990?,KV23,Tey Ankhesenamun
14,Horemheb,Djeserkheperure-Setepenre,1328-1298 SM,990-962 SM,KV57,Mutnedjmet
