,N a m a,N a m a   r e s m i   ( I n g g r i s ) [ 4 0 ],N a m a   ( F i n l a n d i a ),N a m a   ( S w e d i a ),I b u k o t a,B a d a n   a d m i n i s t r a s i   n e g a r a   d a e r a h
0,Laplandia,Lapland,Lappi,Lappland,Rovaniemi,Lapland
1,Ostrobothnia Utara,North Ostrobothnia,Pohjois-Pohjanmaa,Norra Österbotten,Oulu,Finlandia Utara
2,Kainuu,Kainuu,Kainuu,Kajanaland,Kajaani,Finlandia Utara
3,Karelia Utara,North Karelia,Pohjois-Karjala,Norra Karelen,Joensuu,Finlandia Timur
4,Savo Utara,North Savo,Pohjois-Savo,Norra Savolax,Kuopio,Finlandia Timur
5,Savo Selatan,South Savo,Etelä-Savo,Södra Savolax,Mikkeli,Finlandia Timur
6,Ostrobothnia Selatan,South Ostrobothnia,Etelä-Pohjanmaa,Södra Österbotten,Seinäjoki,Finlandia Tengah dan Barat
7,Ostrobothnia Tengah,Central Ostrobothnia,Keski-Pohjanmaa,Mellersta Österbotten,Kokkola,Finlandia Tengah dan Barat
8,Ostrobothnia,Ostrobothnia,Pohjanmaa,Österbotten,Vaasa,Finlandia Tengah dan Barat
9,Pirkanmaa,Pirkanmaa,Pirkanmaa,Birkaland,Tampere,Finlandia Tengah dan Barat
10,Finlandia Tengah,Central Finland,Keski-Suomi,Mellersta Finland,Jyväskylä,Finlandia Tengah dan Barat
11,Satakunta,Satakunta,Satakunta,Satakunta,Pori,Finlandia Barat Daya
12,Finlandia Barat Daya,Southwest Finland,Varsinais-Suomi,Egentliga Finland,Turku,Finlandia Barat Daya
13,Karelia Selatan,South Karelia,Etelä-Karjala,Södra Karelen,Lappeenranta,Finlandia Selatan
14,Päijät-Häme,Päijät-Häme,Päijät-Häme,Päijänne-Tavastland,Lahti,Finlandia Selatan
15,Kanta-Häme,Kanta-Häme,Kanta-Häme,Egentliga Tavastland,Hämeenlinna,Finlandia Selatan
16,Uusimaa,Uusimaa,Uusimaa,Nyland,Helsinki,Finlandia Selatan
17,Kymenlaakso,Kymenlaakso,Kymenlaakso,Kymmenedalen,Kouvola,Finlandia Selatan
18,Kepulauan Åland[41],Åland,Ahvenanmaa,Åland,Mariehamn,Åland
