,P e r i o d e   P e m u t a k h i r a n,E n t r i   B a r u,M a k n a   B a r u,C o n t o h   B a r u,P e r u b a h a n   E n t r i,P e r u b a h a n   M a k n a,P e r u b a h a n   C o n t o h,E n t r i   N o n a k t i f,M a k n a   N o n a k t i f,C o n t o h   N o n a k t i f,I n f o r m a s i   E t i m o l o g i s
0,April 2017,,,,,,,,,,
1,Oktober 2017,,,,,,,,,,
2,April 2018,,,,,,,,,,
3,Oktober 2018,,,,,,,,,,
4,April 2019,,,,,,,,,,
5,Oktober 2019,1.035,34.0,,105.0,63.0,,9.0,3.0,1.0,4.184
6,April 2020,1.011,1.2,154.0,208.0,278.0,13.0,4.0,6.0,,
7,Oktober 2020,1.097,1.113,229.0,45.0,44.0,1.0,6.0,,,931.0
8,April 2021,1.03,1.06,241.0,71.0,96.0,2.0,12.0,,,
9,Oktober 2021,1.005,1.144,117.0,202.0,393.0,7.0,14.0,,,
10,April 2022,,,,,,,,,,
11,Oktober 2022,1.244,1.317,292.0,285.0,806.0,201.0,27.0,,,
