,P e r i n g k a t,N e g a r a,P e n d u k u n g,P e r s e n t a s e   p o p u l a s i,S u m b e r
0,1,Georgia,2.116.868,57%,"გადაცემა ""ბარიერი"""
1,2,Nepal,14.201.557,49%,BBC Asia
2,3,Serbia,2.823.328,40%,BBC Europe
3,4,Albania,949.275,33%,Sudd
4,5,Rusia,31.781.959,22%,Royal Central
5,6,Rumania,4.123.980,21%,Romania Insider
6,7,Jerman,15.646.310,19%,The Local
7,8,Prancis,11.053.890,17%,2016 Alliance Royale
8,9,Brasil,31.236.957,15%,Instituto Paraná Pesquisas
9,10,Portugal,1.546.435,15%,Reuters
10,11,Yunani,1.342.045,12%,To Vima
