,N e g a r a,B e n u a,K e t e r a n g a n
0,Indonesia,"Asia, Australia/Oseania","Wilayah barat Indonesia yaitu dari Kepulauan Sunda Besar sampai Kepulauan Sunda Kecil merupakan bagian dari Benua Asia di wilayah regional Asia Tenggara, sedangkan wilayah Kepulauan Maluku, sampai Pulau Papua dan pulau-pulau di sekitarnya merupakan bagian dari Benua Australia/Oseania"
1,Kazakhstan,"Asia, Eropa",Wilayah barat Kazakhstan seperti provinsi Atyrau masuk ke wilayah Benua Eropa di wilayah regional Eropa Timur
2,Mesir,"Afrika, Asia","Sebagian besar wilayah Mesir berada di wilayah Benua Afrika di wilayah regional Afrika Utara, kecuali Semenanjung Sinai yang merupakan bagian dari Benua Asia di wilayah regional Asia Barat"
3,Prancis,"Eropa, Amerika Utara, Amerika Selatan, Afrika, Oseania, Antarktika",Guyana Prancis yang terletak di Amerika Selatan merupakan wilayah internal Prancis
4,Britania Raya,"Eropa, Amerika Utara, Amerika Selatan, Afrika, Asia, Oseania, Antarktika",Britania Raya memiliki Teritori di beberapa wilayah benua yang kebanyakan berada di sekitaran Samudra Atlantik
5,Rusia,"Asia, Eropa",Wilayah Asia dan Eropa dari Rusia dipisahkan oleh Pegunungan Ural
6,Turki,"Asia, Eropa","Wilayah Anatolia merupakan bagian dari Benua Asia di wilayah regional Asia Barat, sedangkan wilayah Trakia Timur merupakan bagian dari Benua Eropa di wilayah regional Eropa Selatan"
7,Yunani,"Asia, Eropa","Pulau-pulau seperti Khios, Samos, dan Rodos yang terletak di Laut Tengah merupakan bagian dari Benua Asia di wilayah regional Asia Barat"
8,Azerbaijan,"Asia, Eropa",Wilayah utara merupakan bagian dari Benua Eropa
9,Georgia,"Asia, Eropa",Wilayah utara merupakan bagian dari Benua Eropa
10,Yaman,"Asia, Afrika",Pulau Sokotra yang berada di Tanduk Afrika merupakan bagian dari Benua Afrika
11,Spanyol,"Eropa, Afrika",Ceuta dan Melilla merupakan bagian dari Benua Afrika
12,Australia,"Australia/Oseania, Asia",Pulau Natal dan Pulau Cocos di selatan Indonesia merupakan bagian dari Benua Asia
