,0,1,2,3,4,5
0,Tahun,Demokrat,Demokrat,Republik,Republik,Jumlah maksimal kursi
1,Tahun,Jumlah kursi,%,Jumlah kursi,%,Jumlah maksimal kursi
2,1944,242,50.6,191,47.2,435
3,1946,188,44.3,246,53.5,435
4,1948,263,51.6,171,45.4,435
5,1950,235,48.94,199,48.85,435
6,1952,213,49.2,221,49.3,435
7,1954,232,52.1,203,47,435
8,1956,234,50.7,201,48.7,435
9,1958,183,55.5,153,43.6,435
10,1960,262,54.4,175,44.8,435
11,1962,258,52.1,176,47.1,435
12,1964,295,56.9,140,42.4,435
13,1966,243,50.5,187,48,435
14,1968,243,50,192,48.2,435
15,1970,255,53,180,44.5,435
16,1972,242,51.7,192,46.4,435
17,1974,291,57.1,144,40.5,435
18,1976,292,55.5,143,42.2,435
19,1978,277,53.4,158,44.7,435
20,1980,243,50.3,192,47.6,435
21,1982,269,55,166,43.2,435
22,1984,253,51.9,182,46.8,435
23,1986,258,54.1,177,44.2,435
24,1988,260,53.2,177,45.3,435
25,1990,267,52,167,43.9,435
26,1992,258,49.9,176,44.8,435
27,1994,204,44.7,230,51.5,435
28,1996,206,48.1,228,47.8,435
29,1998,221,47.1,223,48,435
30,2000,212,47,221,47.3,435
31,2002,202,45,229,49.6,435
32,2004,202,46.6,232,49.2,435
33,2006,233,52,202,44.1,435
34,2008,252,52.9,178,42.4,435
35,2010,193,44.8,242,51.4,435
36,2012,198,49,234,48.2,435
37,2014,,,,,435
38,2016,,,,,435
39,2018,,,,,435
40,2020,,,,,435
