,N o .,P r o v i n s i,2 0 1 6 [ 2 5 ],2 0 1 7 [ 2 6 ],2 0 1 8 [ 2 7 ],2 0 1 9 [ 2 8 ],2 0 2 0 [ 2 9 ],2 0 2 1 [ 3 0 ],2 0 2 2 [ 3 1 ]
0,1.0,Bengkulu,0,26,2.492,400.0,187,1.799,300.0
1,2.0,Jambi,51,266,212.0,108.0,23,434.0,83.0
2,3.0,Kepulauan Bangka Belitung,0,0,5.0,1.0,0,0.0,0.0
3,4.0,Kepulauan Riau,33,0,1.0,26.0,0,15.0,5.0
4,5.0,Lampung,8,0,124.0,72.0,0,8.0,22.0
5,6.0,Riau,257,134,117.0,829.0,80,58.0,42.0
6,7.0,Sumatra Barat,49,0,1.087,134.0,4,40.0,0.0
7,8.0,Sumatra Selatan,0,0,484.0,2.209,4,49.0,0.0
8,9.0,Sumatra Utara,0,0,0.0,16.0,84,19.0,0.0
9,10.0,Kalimantan Selatan,0,29,1.0,39.0,0,2.0,47.0
10,11.0,Kalimantan Tengah,0,0,45.0,2.0,0,49.0,0.0
11,12.0,Kalimantan Timur,0,3,229.0,7.0,26,0.0,0.0
12,13.0,Sulawesi Barat,0,0,0.0,2.0,0,0.0,209.0
13,14.0,Sulawesi Selatan,0,0,0.0,0.0,0,0.0,392.0
14,15.0,Sulawesi Tengah,0,0,0.0,0.0,0,0.0,24.0
15,,Jumlah,398,458,4.797,3.845,408,2.473,1.124
